name,price,psf,address,description,bedroom,bathroom,carpark
"Taman Sri Wang [RENOVATED SEMI D], Arau","RM 350,000",(RM 120.9 per sq. ft.),"Arau, Perlis","Semi-detached House | Corner lot  •  Built-up : 2,895 sq. ft.  •  Unfurnished",4,2,
Arau,"RM 260,000",(RM 185.85 per sq. ft.),"Arau, Perlis","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,399 sq. ft.",3,2,2
"Seberang Ramai, Kuala Perlis","RM 1,800,000",(RM 17.96 per sq. ft.),"Kuala Perlis, Perlis","Residential Land  •  Land area : 100,244 sq. ft.",,,
"Taman Melati Indah, Kangar","RM 230,000",(RM 191.67 per sq. ft.),"Kangar, Perlis","1-sty Terrace/Link House  •  Built-up : 1,200 sq. ft.",3,1,1
Kuala Perlis,"RM 910,000",(RM 155.72 per sq. ft.),"Kuala Perlis, Perlis","Bungalow | Corner lot  •  Built-up : 5,844 sq. ft.  •  Fully furnished",4,3,3
"Taman Bukit Kubu, Kuala Perlis","RM 875,000",(RM 149.73 per sq. ft.),"Kuala Perlis, Perlis","Bungalow  •  Built-up : 5,844 sq. ft.",4,3,
"Taman Seri Bintong Maju, Kangar","RM 250,000",(RM 208.33 per sq. ft.),"Kangar, Perlis","1-sty Terrace/Link House  •  Built-up : 1,200 sq. ft.",3,2,
"Taman Beseri Permai, Kaki Bukit","RM 265,000",(RM 118.41 per sq. ft.),"Kaki Bukit, Perlis","Semi-detached House  •  Built-up : 2,238 sq. ft.",4,2,
Arau,"RM 350,000",(RM 297.87 per sq. ft.),"Arau, Perlis","Semi-detached House | Intermediate  •  Built-up : 1,175 sq. ft.  •  Partly furnished",4,2,2
Kangar,"RM 230,000",(RM 139.73 per sq. ft.),"Kangar, Perlis","1-sty Terrace/Link House  •  Built-up : 1,646 sq. ft.",3+1,1,2
"Taman Sri Embun, Kangar","RM 200,000",(RM 178.57 per sq. ft.),"Kangar, Perlis","1-sty Terrace/Link House  •  Built-up : 1,120 sq. ft.",3,1,
"Taman Sri Semarak, Kuala Perlis","RM 190,000",(RM 135.62 per sq. ft.),"Kuala Perlis, Perlis","1-sty Terrace/Link House  •  Built-up : 1,401 sq. ft.",3,2,
"Taman Melati Indah, Beseri, Kangar","RM 230,000",(RM 139.65 per sq. ft.),"Kangar, Perlis","1-sty Terrace/Link House  •  Built-up : 1,647 sq. ft.",3,1,
Kangar,"RM 620,000",(RM 258.33 per sq. ft.),"Kangar, Perlis","Semi-detached House | Intermediate  •  Built-up : 2,400 sq. ft.  •  Unfurnished",5,3,6
"Taman Melati Indah, Kangar","RM 230,000",(RM 287.5 per sq. ft.),"Kangar, Perlis",1-sty Terrace/Link House  •  Built-up : 800 sq. ft.,3,1,2
"5 BILIK TERES CORNER LOT DUA TINGKAT, Kangar","RM 380,000",(RM 158.33 per sq. ft.),"Kangar, Perlis","2-sty Terrace/Link House | Corner lot  •  Built-up : 2,400 sq. ft.  •  Partly furnished",5,3,2
"Beseri, Padang Besar","RM 300,000",(RM 172.41 per sq. ft.),"Padang Besar, Perlis","Bungalow  •  Built-up : 1,740 sq. ft.",3,2,3
Arau,"RM 230,000",(RM 164.4 per sq. ft.),"Arau, Perlis","1-sty Terrace/Link House  •  Built-up : 1,399 sq. ft.",3,2,1
"PERUMAHAN BARU TAMAN SRI EMBUN, Kangar","RM 379,800",(RM 378.29 per sq. ft.),"Kangar, Perlis","Semi-detached House  •  Built-up : 1,004 sq. ft.",3,2,2
Kangar,"RM 180,000",(RM 15.34 per sq. ft.),"Kangar, Perlis","1-sty Terrace/Link House | Intermediate  •  Built-up : 11,733 sq. ft.  •  Unfurnished",2,1,
"Taman Bintong Aman, Kangar","RM 580,000",(RM 100.52 per sq. ft.),"Kangar, Perlis","Bungalow  •  Built-up : 5,770 sq. ft.",4,4,
"Taman Repoh Indah, Kangar","RM 630,000",(RM 223.09 per sq. ft.),"Kangar, Perlis","Semi-detached House  •  Built-up : 2,824 sq. ft.",7,5,5
"Taman Jali Kangar, Kangar","RM 530,000",(RM 205.75 per sq. ft.),"Kangar, Perlis","Semi-detached House  •  Built-up : 2,576 sq. ft.",4,3,
"Banglo di Beseri Untuk dijual, Kangar","RM 300,000",(RM 172.41 per sq. ft.),"Kangar, Perlis","Bungalow  •  Built-up : 1,740 sq. ft.",3,2,2
Kangar,"RM 379,800",(RM 375.3 per sq. ft.),"Kangar, Perlis","Semi-detached House  •  Built-up : 1,012 sq. ft.",3,2,1
"Taman Saujana Idaman, Arau","RM 260,000",(RM 185.85 per sq. ft.),"Arau, Perlis","1-sty Terrace/Link House  •  Built-up : 1,399 sq. ft.",3,2,
"Taman Sri Wang, Arau","RM 235,000",(RM 167.98 per sq. ft.),"Arau, Perlis","1-sty Terrace/Link House  •  Built-up : 1,399 sq. ft.",3,2,
"Taman Sejahtera, Kuala Perlis","RM 205,000",(RM 146.53 per sq. ft.),"Kuala Perlis, Perlis","1-sty Terrace/Link House  •  Built-up : 1,399 sq. ft.",3,2,
"Taman Aman, Kangar, Perlis, Kangar","RM 280,000",(RM 181.94 per sq. ft.),"Kangar, Perlis","1-sty Terrace/Link House  •  Built-up : 1,539 sq. ft.",3,2,
"Teres 1 Tingkat - Taman Putra Heights - Arau, Arau","RM 170,000",(RM 188.89 per sq. ft.),"Arau, Perlis",1-sty Terrace/Link House | Intermediate  •  Built-up : 900 sq. ft.  •  Partly furnished,3,5,1
"Semi D 2 Tingkat - Taman Sri Embun - Kangar, Kangar","RM 579,400",(RM 286.26 per sq. ft.),"Kangar, Perlis","Semi-detached House | Intermediate  •  Built-up : 2,024 sq. ft.",4,3,2
"Padang Biak, Arau","RM 1,888,326",(RM 653400 per acre),"Arau, Perlis",Residential Land  •  Land area : 2.89 acres,,,
"Rumah Teres Setingkat di Arau, Perlis, Arau","RM 169,200",(RM 192.27 per sq. ft.),"Arau, Perlis",1-sty Terrace/Link House | Intermediate  •  Built-up : 880 sq. ft.,3,2,
"PERUMAHAN BARU TEPI HIGHWAY TAMAN SEMARAK, Arau","RM 289,000",(RM 281.95 per sq. ft.),"Arau, Perlis","Semi-detached House  •  Built-up : 1,025 sq. ft.",3,2,2
"Taman Utama Indah Kangar, Kangar","RM 530,000",(RM 217.04 per sq. ft.),"Kangar, Perlis","Semi-detached House  •  Built-up : 2,442 sq. ft.  •  Unfurnished",4+1,3,2
"Taman Desa Ulu Pauh Arau, Arau","RM 498,000",(RM 216.52 per sq. ft.),"Arau, Perlis","Bungalow  •  Built-up : 2,300 sq. ft.  •  Unfurnished",4+1,4,2
Kangar,"RM 300,000",(RM 172.41 per sq. ft.),"Kangar, Perlis","Bungalow  •  Built-up : 1,740 sq. ft.",3,2,3
"Taman Wan Arpah 190K, Kangar","RM 190,000",(RM 193.88 per sq. ft.),"Kangar, Perlis",1-sty Terrace/Link House  •  Built-up : 980 sq. ft.,3,2,
"Taman Kemajuan, Kangar","RM 200,000",(RM 258.06 per sq. ft.),"Kangar, Perlis",2-sty Terrace/Link House | Intermediate  •  Built-up : 775 sq. ft.,3,2,
"DESIGN CANTIK BANGLO SETINGKAT , Kangar","RM 300,000",(RM 172.41 per sq. ft.),"Kangar, Perlis","Bungalow  •  Built-up : 1,740 sq. ft.",3,2,
"Taman Jali, Kangar","RM 250,000",(RM 277.78 per sq. ft.),"Kangar, Perlis",1-sty Terrace/Link House  •  Built-up : 900 sq. ft.,3,2,
Kangar,"RM 1,200,000",(RM 1000 per sq. ft.),"Kangar, Perlis","Bungalow  •  Built-up : 1,200 sq. ft.  •  Fully furnished",3,1,3
"Taman Seri Embun, Kangar","RM 550,000",(RM 461.41 per sq. ft.),"Kangar, Perlis","Bungalow  •  Built-up : 1,192 sq. ft.  •  Unfurnished",3,3,2
"Taman Jeliti Bintong, Kangar","RM 115,000",(RM 152.72 per sq. ft.),"Kangar, Perlis",Cluster House  •  Built-up : 753 sq. ft.,3,2,
Kangar,"RM 488,888",(RM 488.89 per sq. ft.),"Kangar, Perlis","Semi-detached House  •  Built-up : 1,000 sq. ft.",4+1,3,2
Kangar,"RM 530,000",(RM 104.06 per sq. ft.),"Kangar, Perlis","Semi-detached House  •  Built-up : 5,093 sq. ft.",4,3,
"Beseri, Kangar","RM 102,000",(RM 22.23 per sq. ft.),"Kangar, Perlis","Bungalow Land  •  Land area : 4,589 sq. ft.",,,
"Rumah Semi-D 2 Tingkat Berdekatan IPDA/POLIMAS, Kangar","RM 628,000",(RM 697.78 per sq. ft.),"Kangar, Perlis",Semi-detached House  •  Built-up : 900 sq. ft.,4,3,
"Rumah Semi-D Berdekatan IPDA/POLIMAS, Kangar","RM 398,000",(RM 398 per sq. ft.),"Kangar, Perlis","Semi-detached House  •  Built-up : 1,000 sq. ft.",3,2,
"Rumah Semi-D Berdekatan IPDA/POLIMAS, Arau","RM 398,000",(RM 398 per sq. ft.),"Arau, Perlis","Semi-detached House  •  Built-up : 1,000 sq. ft.",3,2,
Kangar,"RM 250,000",(RM 166.67 per sq. ft.),"Kangar, Perlis","1-sty Terrace/Link House  •  Built-up : 1,500 sq. ft.",3,2,1
Arau,"RM 240,000",(RM 171.55 per sq. ft.),"Arau, Perlis","1-sty Terrace/Link House  •  Built-up : 1,399 sq. ft.",3,2,1
Arau,"RM 240,000",(RM 171.55 per sq. ft.),"Arau, Perlis","1-sty Terrace/Link House  •  Built-up : 1,399 sq. ft.",3,2,1
Arau,"RM 240,000",(RM 171.43 per sq. ft.),"Arau, Perlis","1-sty Terrace/Link House  •  Built-up : 1,400 sq. ft.",3,2,
"Taman Sri Embun, Kangar","RM 550,000",(RM 461.41 per sq. ft.),"Kangar, Perlis","Bungalow  •  Built-up : 1,192 sq. ft.  •  Unfurnished",3,3,2
"Taman Sri Embun, Kangar","RM 379,800",(RM 378.29 per sq. ft.),"Kangar, Perlis","Semi-detached House | End lot  •  Built-up : 1,004 sq. ft.  •  Unfurnished",3,2,2
Kangar,"RM 540,000",(RM 175.1 per sq. ft.),"Kangar, Perlis","Semi-detached House | End lot  •  Built-up : 3,084 sq. ft.",4,4,
"Teres 1 Tingkat - Taman Putra Heights -Arau, Arau","RM 180,000",(RM 200 per sq. ft.),"Arau, Perlis",1-sty Terrace/Link House | Intermediate  •  Built-up : 900 sq. ft.  •  Partly furnished,3,5,2
"Semi D Taman Sri Embun, Kangar","RM 379,800",(RM 378.29 per sq. ft.),"Kangar, Perlis","Semi-detached House | Intermediate  •  Built-up : 1,004 sq. ft.  •  Unfurnished",3,2,2
Kangar,"RM 250,000",(RM 156.25 per sq. ft.),"Kangar, Perlis","1-sty Terrace/Link House  •  Built-up : 1,600 sq. ft.",3,2,2
Kangar,"RM 550,000",(RM 461.41 per sq. ft.),"Kangar, Perlis","Bungalow  •  Built-up : 1,192 sq. ft.",3,3,
Kangar,"RM 798,000",(RM 346.96 per sq. ft.),"Kangar, Perlis","Bungalow  •  Built-up : 2,300 sq. ft.",4,3,
"Taman Seberang Permai, Kuala Perlis","RM 420,000",(RM 350 per sq. ft.),"Kuala Perlis, Perlis","Semi-detached House | Corner lot  •  Built-up : 1,200 sq. ft.",4,2,1
Kangar,"RM 379,800",(RM 375.3 per sq. ft.),"Kangar, Perlis","Semi-detached House  •  Built-up : 1,012 sq. ft.  •  Unfurnished",3,2,2
Kangar,"RM 550,000",(RM 461.41 per sq. ft.),"Kangar, Perlis","Bungalow  •  Built-up : 1,192 sq. ft.",3,3,
Kangar,"RM 579,000",(RM 279.98 per sq. ft.),"Kangar, Perlis","Semi-detached House  •  Built-up : 2,068 sq. ft.",4,3,
"Rumah 2 tingkat di kuala perlis untuk dijual, Kuala Perlis","RM 255,000",(RM 182.14 per sq. ft.),"Kuala Perlis, Perlis","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,400 sq. ft.  •  Unfurnished",4,3,1
"Taman Jali, Kangar","RM 250,000",(RM 166.67 per sq. ft.),"Kangar, Perlis","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,500 sq. ft.",3,2,1
"Chuping, Kangar","RM 318,000",(RM 397.5 per sq. ft.),"Kangar, Perlis",Semi-detached House  •  Built-up : 800 sq. ft.,3,2,2
"(CORNER LOT) TERES 2 TINGKAT KOS RENDAH, Kangar","RM 200,000",(RM 129.95 per sq. ft.),"Kangar, Perlis","2-sty Terrace/Link House | Corner lot  •  Built-up : 1,539 sq. ft.",3,2,
"TERES SETINGKAT @ BESERI, Kangar","RM 230,000",(RM 139.73 per sq. ft.),"Kangar, Perlis","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,646 sq. ft.",3+1,1,2
Kangar,"RM 200,000",(RM 129.95 per sq. ft.),"Kangar, Perlis","2-sty Terrace/Link House  •  Built-up : 1,539 sq. ft.",3,2,2
Kangar,"RM 200,000",(RM 129.95 per sq. ft.),"Kangar, Perlis","2-sty Terrace/Link House  •  Built-up : 1,539 sq. ft.",3,2,1
Kangar,"RM 200,000",(RM 129.95 per sq. ft.),"Kangar, Perlis","2-sty Terrace/Link House | Corner lot  •  Built-up : 1,539 sq. ft.",3,2,
Kangar,"RM 250,000",(RM 166.67 per sq. ft.),"Kangar, Perlis","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,500 sq. ft.",3,2,
Kangar,"RM 200,000",(RM 129.95 per sq. ft.),"Kangar, Perlis","2-sty Terrace/Link House  •  Built-up : 1,539 sq. ft.",3,2,1
Kangar,"RM 250,000",(RM 166.67 per sq. ft.),"Kangar, Perlis","1-sty Terrace/Link House  •  Built-up : 1,500 sq. ft.",3,2,1
Kangar,"RM 250,000",(RM 166.67 per sq. ft.),"Kangar, Perlis","1-sty Terrace/Link House  •  Built-up : 1,500 sq. ft.",3,2,1
"TAMAN JALI [BERDEKATAN KANGAR], Kangar","RM 250,000",(RM 166.67 per sq. ft.),"Kangar, Perlis","1-sty Terrace/Link House  •  Built-up : 1,500 sq. ft.",3,2,
"Behor Pulai, Kangar","RM 379,800",(RM 375.3 per sq. ft.),"Kangar, Perlis","Semi-detached House | Intermediate  •  Built-up : 1,012 sq. ft.  •  Unfurnished",3,2,2
"Taman Melati Indah, Kangar","RM 230,000",(RM 139.73 per sq. ft.),"Kangar, Perlis","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,646 sq. ft.",3+1,1,2
"Taman Desa Padang Nyu, Arau","RM 365,000",(RM 269.17 per sq. ft.),"Arau, Perlis","Semi-detached House | Intermediate  •  Built-up : 1,356 sq. ft.  •  Unfurnished",3,2,1
"Banglo Kampung Beseri, Kangar, Kangar","RM 300,000",(RM 172.41 per sq. ft.),"Kangar, Perlis","Bungalow | Intermediate  •  Built-up : 1,740 sq. ft.",3,2,3
"Taman Sri Wang, Arau","RM 240,000",(RM 171.43 per sq. ft.),"Arau, Perlis","1-sty Terrace/Link House  •  Built-up : 1,400 sq. ft.",3,2,
Arau,"RM 250,000",(RM 188.96 per sq. ft.),"Arau, Perlis","1-sty Terrace/Link House  •  Built-up : 1,323 sq. ft.",3,2,2
Arau,"RM 240,000",(RM 171.43 per sq. ft.),"Arau, Perlis","1-sty Terrace/Link House  •  Built-up : 1,400 sq. ft.",3,2,2
"Taman Melati Indah, Kangar","RM 230,000",(RM 139.73 per sq. ft.),"Kangar, Perlis","1-sty Terrace/Link House  •  Built-up : 1,646 sq. ft.",3,1,
"Taman Sri Wang, Arau","RM 240,000",(RM 171.43 per sq. ft.),"Arau, Perlis","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,400 sq. ft.",3,2,1
"Taman Sri Wang, Arau","RM 230,000",(RM 164.4 per sq. ft.),"Arau, Perlis","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,399 sq. ft.  •  Unfurnished",3,2,1
"Taman sri wang arau untuk dijual, Arau","RM 240,000",(RM 200 per sq. ft.),"Arau, Perlis","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,200 sq. ft.  •  Unfurnished",3,2,2
"Beseri, Kangar","RM 350,000",(RM 104.82 per sq. ft.),"Kangar, Perlis","Semi-detached House  •  Built-up : 3,339 sq. ft.",3,2,2
"KAMPUNG PAYA KAKI BUKIT, Kaki Bukit","RM 70,000",(RM 8.8 per sq. ft.),"Kaki Bukit, Perlis","Residential Land  •  Land area : 7,955 sq. ft.",,,
"TANAH RAPAT JALAN MURAH, Kangar","RM 149,000",(RM 7.76 per sq. ft.),"Kangar, Perlis","Residential Land  •  Land area : 19,197 sq. ft.",,,
"Semi-D with fully renovated, Kangar","RM 450,000",(RM 281.25 per sq. ft.),"Kangar, Perlis","Semi-detached House | Intermediate  •  Built-up : 1,600 sq. ft.",4,2,2
"Taman Sri Wang Fasa 2, Arau","RM 360,000",(RM 304.31 per sq. ft.),"Arau, Perlis","Semi-detached House | Intermediate  •  Built-up : 1,183 sq. ft.",4,2,2
"Berseri, Kangar","RM 330,000",(RM 241.94 per sq. ft.),"Kangar, Perlis","Semi-detached House  •  Built-up : 1,364 sq. ft.",4,3,2
,,(RM 253.78 per sq. ft.),,"Bungalow  •  Built-up : 2,715 sq. ft.",5,3,2
,,(RM 290.63 per sq. ft.),,"1-sty Terrace/Link House  •  Built-up : 1,600 sq. ft.",4,4,2
,,(RM 284.44 per sq. ft.),,"Bungalow  •  Built-up : 1,684 sq. ft.",4,3,2
,,(RM 274.73 per sq. ft.),,"Semi-detached House  •  Built-up : 1,638 sq. ft.",4,2,2
,,(RM 231.48 per sq. ft.),,"1-sty Terrace/Link House | Intermediate  •  Built-up : 1,080 sq. ft.  •  Partly furnished",3,2,2
,,(RM 286.37 per sq. ft.),,"Bungalow  •  Built-up : 1,739 sq. ft.",4,3,2
,,(RM 351.95 per sq. ft.),,"Bungalow  •  Built-up : 2,131 sq. ft.",4,3,2
,,(RM 170.77 per sq. ft.),,"Bungalow  •  Built-up : 3,455 sq. ft.",6+1,6,3
,,(RM 214.29 per sq. ft.),,"Bungalow  •  Built-up : 3,500 sq. ft.",4,4,4
,,(RM 258.44 per sq. ft.),,"Bungalow  •  Built-up : 18,186 sq. ft.  •  Fully furnished",7+6,13,
,,(RM 165.89 per sq. ft.),,"1-sty Terrace/Link House  •  Built-up : 1,495 sq. ft.",4,2,2
,,(RM 250 per sq. ft.),,"1-sty Terrace/Link House  •  Built-up : 1,000 sq. ft.",3,2,2
,,(RM 186.75 per sq. ft.),,"Semi-detached House  •  Built-up : 2,597 sq. ft.",4,3,2
,,(RM 159.07 per sq. ft.),,"Bungalow  •  Built-up : 4,715 sq. ft.",5,5,2
,,(RM 337.87 per sq. ft.),,"Bungalow | Corner lot  •  Built-up : 2,131 sq. ft.",4,3,2
"Tijani Raja Dewa, Kota Bharu","RM 550,000",(RM 589.5 per sq. ft.),"Kota Bharu, Kelantan",Apartment  •  Built-up : 933 sq. ft.  •  Partly furnished,3,2,1
"BANGLO 2 TINGKAT KOTA BHARU, Kota Bharu","RM 500,000",(RM 143.84 per sq. ft.),"Kota Bharu, Kelantan","Bungalow  •  Built-up : 3,476 sq. ft.",5,3,5
"RUMAH BERKEMBAR BESAR DAN MEWAH PASIR TUMBOH, Kota Bharu","RM 450,000",(RM 292.59 per sq. ft.),"Kota Bharu, Kelantan","Semi-detached House  •  Built-up : 1,538 sq. ft.",4,3,
"BANGLO TEPUS, ARIL, Kota Bharu","RM 300,000",(RM 249.58 per sq. ft.),"Kota Bharu, Kelantan","Bungalow  •  Built-up : 1,202 sq. ft.",3,2,1
"Bukit Belah, Machang","RM 103,000",(RM 18.06 per sq. ft.),"Machang, Kelantan","Bungalow Land  •  Land area : 5,704 sq. ft.",,,
"Panji, Kota Bharu","RM 330,000",(RM 235.71 per sq. ft.),"Kota Bharu, Kelantan","2-sty Terrace/Link House  •  Built-up : 1,400 sq. ft.",4,3,2
Bachok,"RM 339,000",(RM 235.74 per sq. ft.),"Bachok, Kelantan","Bungalow  •  Built-up : 1,438 sq. ft.",3,2,
Kota Bharu,"RM 258,000",(RM 277.12 per sq. ft.),"Kota Bharu, Kelantan",1-sty Terrace/Link House  •  Built-up : 931 sq. ft.,3,2,2
"Kota jembal, Kota Bharu","RM 399,000",(RM 190 per sq. ft.),"Kota Bharu, Kelantan","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,100 sq. ft.  •  Unfurnished",4,3,2
Bachok,"RM 360,000",(RM 222.22 per sq. ft.),"Bachok, Kelantan","Bungalow  •  Built-up : 1,620 sq. ft.",4,3,2
Kota Bharu,"RM 220,000",(RM 244.44 per sq. ft.),"Kota Bharu, Kelantan",1-sty Terrace/Link House  •  Built-up : 900 sq. ft.,3,2,2
"Lelong B'low @ Kampung Tanjung Kuala Pulau Gajah, Kota Bharu","RM 315,000",(RM 134.62 per sq. ft.),"Kota Bharu, Kelantan","Bungalow  •  Built-up : 2,340 sq. ft.",5,3,5
"Lelong Corner 2 Sty Terrace Hse @ Taman Kuala Krai, Kuala Kerai","RM 218,000",(RM 49.28 per sq. ft.),"Kuala Kerai, Kelantan","2-sty Terrace/Link House  •  Built-up : 4,424 sq. ft.",6,5,3
"SEMI D LIMBAT, KOTA BHARU, Kota Bharu","RM 395,000",(RM 252.07 per sq. ft.),"Kota Bharu, Kelantan","Semi-detached House  •  Built-up : 1,567 sq. ft.",4,3,2
"Taman Kuala Krai, Kuala Krai, Kelantan, Kuala Kerai","RM 218,000",(RM 49.28 per sq. ft.),"Kuala Kerai, Kelantan","2-sty Terrace/Link House | Corner lot  •  Built-up : 4,424 sq. ft.",4,3,
Kuala Kerai,"RM 385,000",(RM 226.47 per sq. ft.),"Kuala Kerai, Kelantan","2-sty Terrace/Link House  •  Built-up : 1,700 sq. ft.",4,3,2
"Mukim Batang Merbau, Tanah Merah","RM 188,000",(RM 208.89 per sq. ft.),"Tanah Merah, Kelantan",1-sty Terrace/Link House  •  Built-up : 900 sq. ft.,3,2,1
"Padang Rokma, Wakaf Baru, Wakaf Baru","RM 420,000",(RM 181.82 per sq. ft.),"Wakaf Baru, Kelantan","2-sty Terrace/Link House  •  Built-up : 2,310 sq. ft.",4,3,
"Wakaf Stan, Kubang Kerian, Kota Bharu","RM 599,000",(RM 299.5 per sq. ft.),"Kota Bharu, Kelantan","Bungalow  •  Built-up : 2,000 sq. ft.",4,3,
"Taman Mawar, Machang, Machang","RM 249,000",(RM 218.42 per sq. ft.),"Machang, Kelantan","1-sty Terrace/Link House  •  Built-up : 1,140 sq. ft.",3,2,2
"Klewek, Tanah Merah","RM 165,000",(RM 183.33 per sq. ft.),"Tanah Merah, Kelantan",1-sty Terrace/Link House  •  Built-up : 900 sq. ft.,3,1,1
"Taman Hidayah Harmoni,, Tanah Merah","RM 379,000",(RM 210.56 per sq. ft.),"Tanah Merah, Kelantan","2-sty Terrace/Link House  •  Built-up : 1,800 sq. ft.",4,3,2
"Perumahan Lubok Agor, Kampung Bukit Batu, Tanah Merah","RM 98,000",(RM 97.03 per sq. ft.),"Tanah Merah, Kelantan","2-sty Terrace/Link House  •  Built-up : 1,010 sq. ft.",3,2,
"Pengkalan Chepa, Kota Bharu","RM 4,700,000",(RM 258.44 per sq. ft.),"Kota Bharu, Kelantan","Bungalow  •  Built-up : 18,186 sq. ft.  •  Partly furnished",7+6,13,
"Taman Anggerik Putih, Machang","RM 226,000",(RM 264.33 per sq. ft.),"Machang, Kelantan",1-sty Terrace/Link House  •  Built-up : 855 sq. ft.,3,2,1
Kota Bharu,"RM 250,000",(RM 312.5 per sq. ft.),"Kota Bharu, Kelantan",1-sty Terrace/Link House | End lot  •  Built-up : 800 sq. ft.  •  Unfurnished,3,2,
"Lelong 1 Sty B'low @ Kampung Tujoh @ Jalan Masjid, Tumpat","RM 328,000",(RM 104.73 per sq. ft.),"Tumpat, Kelantan","Bungalow  •  Built-up : 3,132 sq. ft.",4,2,
"Lelong 1 Sty B'low @ Kampung Gual Nering, Pasir Mas","RM 169,000",(RM 101.14 per sq. ft.),"Pasir Mas, Kelantan","Bungalow  •  Built-up : 1,671 sq. ft.",4,3,6
"Alamanda, Machang","RM 230,000",(RM 267.44 per sq. ft.),"Machang, Kelantan",1-sty Terrace/Link House  •  Built-up : 860 sq. ft.,3,2,1
"BANGLO PASIR MAS, Pasir Mas","RM 390,000",(RM 212.07 per sq. ft.),"Pasir Mas, Kelantan","Bungalow  •  Built-up : 1,839 sq. ft.",4,3,1
Kota Bharu,"RM 307,800",,"Kota Bharu, Kelantan",Semi-detached House,,,
Kota Bharu,"RM 386,370",,"Kota Bharu, Kelantan",Semi-detached House,,,
"Impiana Condovilla, Telok","RM 492,480",(RM 257.57 per sq. ft.),"Telok, Kelantan","Condominium  •  Built-up : 1,912 sq. ft.",3,2,
"Wakaf bharu, Wakaf Baru","RM 140,000",(RM 142.86 per sq. ft.),"Wakaf Baru, Kelantan",1-sty Terrace/Link House  •  Built-up : 980 sq. ft.,3,2,2
Bachok,"RM 45,000",,"Bachok, Kelantan",1-sty Terrace/Link House,,,
Ketereh,"RM 150,000",(RM 167.6 per sq. ft.),"Ketereh, Kelantan",1-sty Terrace/Link House | Intermediate  •  Built-up : 895 sq. ft.,3,2,
"Chetok, Pasir Mas","RM 170,000",(RM 4.31 per sq. ft.),"Pasir Mas, Kelantan","Residential Land  •  Land area : 39,428 sq. ft.",,,
"Bukit Merbau, Pasir Puteh","RM 110,000",(RM 18.75 per sq. ft.),"Pasir Puteh, Kelantan","Bungalow Land  •  Land area : 5,866 sq. ft.",,,
"Kg Lepan Setar, Machang","RM 90,000",(RM 19 per sq. ft.),"Machang, Kelantan","Bungalow Land  •  Land area : 4,736 sq. ft.",,,
"Labok, Machang","RM 385,000",(RM 198.05 per sq. ft.),"Machang, Kelantan","Bungalow  •  Built-up : 1,944 sq. ft.",4,3,
"Kg Banggol Petai, Machang, Machang","RM 320,000",(RM 243.35 per sq. ft.),"Machang, Kelantan","Bungalow  •  Built-up : 1,315 sq. ft.",4,2,
Tanah Merah,"RM 188,000",(RM 180.77 per sq. ft.),"Tanah Merah, Kelantan","1-sty Terrace/Link House  •  Built-up : 1,040 sq. ft.",3,2,2
"Semi D di Limbat, Pasir Tumboh, Kota Bharu","RM 330,000",(RM 235.21 per sq. ft.),"Kota Bharu, Kelantan","Semi-detached House  •  Built-up : 1,403 sq. ft.",3,2,
Pasir Puteh,"RM 311,500",(RM 254.08 per sq. ft.),"Pasir Puteh, Kelantan","Semi-detached House  •  Built-up : 1,226 sq. ft.",3,2,2
"Slow Machang, Pasir Mas","RM 315,000",(RM 242.31 per sq. ft.),"Pasir Mas, Kelantan","Semi-detached House  •  Built-up : 1,300 sq. ft.",3,3,2
Kota Bharu,"RM 875,000",(RM 273.44 per sq. ft.),"Kota Bharu, Kelantan","Bungalow  •  Built-up : 3,200 sq. ft.",4,4,
"Limbat, Pasir Tumboh, Kota Bharu","RM 395,000",(RM 245.95 per sq. ft.),"Kota Bharu, Kelantan","Bungalow  •  Built-up : 1,606 sq. ft.",4,3,
"Taman Desa Permas, Kok Lanas, Ketereh","RM 200,000",(RM 200 per sq. ft.),"Ketereh, Kelantan","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,000 sq. ft.",3,2,
"Kg Lating, Mulong, Kota Bharu","RM 465,000",(RM 258.33 per sq. ft.),"Kota Bharu, Kelantan","Bungalow  •  Built-up : 1,800 sq. ft.  •  Partly furnished",3,3,2
"Panji, Kota Bharu","RM 1,200,000",(RM 400 per sq. ft.),"Kota Bharu, Kelantan","Semi-detached House  •  Built-up : 3,000 sq. ft.",4,4,4
"Baung, Kota Bharu, Kota Bharu","RM 499,000",(RM 293.53 per sq. ft.),"Kota Bharu, Kelantan","Bungalow  •  Built-up : 1,700 sq. ft.",3,2,5
"Labok, Machang","RM 430,000",(RM 231.31 per sq. ft.),"Machang, Kelantan","Bungalow  •  Built-up : 1,859 sq. ft.  •  Partly furnished",4,3,2
